"File","Original Link","Fixed Link","Relative Path","Absolute Path","Timestamp"
"tags/local-nodes.md","[Coordi-nations](../tags/coordi-nations.md)","[Coordi-nations](tags/coordi-nations.md)","../tags/coordi-nations.md","tags/coordi-nations.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/README.md","[I.01-impact-yield-fund-concept.md](./I.01-impact-yield-fund-concept.md)","[I.01-impact-yield-fund-concept.md](notes/ics/ccc/docs/I-Fund/I.01-impact-yield-fund-concept.md)","./I.01-impact-yield-fund-concept.md","notes/ics/ccc/docs/I-Fund/I.01-impact-yield-fund-concept.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/README.md","[I.03-diagrams-and-visuals.md](./I.03-diagrams-and-visuals.md)","[I.03-diagrams-and-visuals.md](notes/ics/ccc/docs/I-Fund/I.03-diagrams-and-visuals.md)","./I.03-diagrams-and-visuals.md","notes/ics/ccc/docs/I-Fund/I.03-diagrams-and-visuals.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/README.md","[I.04-project-plan.md](./I.04-project-plan.md)","[I.04-project-plan.md](notes/ics/ccc/docs/I-Fund/I.04-project-plan.md)","./I.04-project-plan.md","notes/ics/ccc/docs/I-Fund/I.04-project-plan.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/README.md","[I.05-discussion-paper-outline.md](./I.05-discussion-paper-outline.md)","[I.05-discussion-paper-outline.md](notes/ics/ccc/docs/I-Fund/I.05-discussion-paper-outline.md)","./I.05-discussion-paper-outline.md","notes/ics/ccc/docs/I-Fund/I.05-discussion-paper-outline.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/README.md","[I-Fund.md](./I-Fund.md)","[I-Fund.md](notes/ics/ccc/docs/I-Fund/I-Fund.md)","./I-Fund.md","notes/ics/ccc/docs/I-Fund/I-Fund.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I.00-overview.md","[I-Fund-README.md](./I-Fund-README.md)","[I-Fund-README.md](notes/ics/ccc/docs/I-Fund/I-Fund-README.md)","./I-Fund-README.md","notes/ics/ccc/docs/I-Fund/I-Fund-README.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I.00-overview.md","[I.01-impact-yield-fund-concept.md](./I.01-impact-yield-fund-concept.md)","[I.01-impact-yield-fund-concept.md](notes/ics/ccc/docs/I-Fund/I.01-impact-yield-fund-concept.md)","./I.01-impact-yield-fund-concept.md","notes/ics/ccc/docs/I-Fund/I.01-impact-yield-fund-concept.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I.00-overview.md","[I.02-meeting-notes.md](./I.02-meeting-notes.md)","[I.02-meeting-notes.md](notes/ics/ccc/docs/I-Fund/I.02-meeting-notes.md)","./I.02-meeting-notes.md","notes/ics/ccc/docs/I-Fund/I.02-meeting-notes.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I.00-overview.md","[I.03-diagrams-and-visuals.md](./I.03-diagrams-and-visuals.md)","[I.03-diagrams-and-visuals.md](notes/ics/ccc/docs/I-Fund/I.03-diagrams-and-visuals.md)","./I.03-diagrams-and-visuals.md","notes/ics/ccc/docs/I-Fund/I.03-diagrams-and-visuals.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I.00-overview.md","[I.04-project-plan.md](./I.04-project-plan.md)","[I.04-project-plan.md](notes/ics/ccc/docs/I-Fund/I.04-project-plan.md)","./I.04-project-plan.md","notes/ics/ccc/docs/I-Fund/I.04-project-plan.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I.00-overview.md","[I.05-discussion-paper-outline.md](./I.05-discussion-paper-outline.md)","[I.05-discussion-paper-outline.md](notes/ics/ccc/docs/I-Fund/I.05-discussion-paper-outline.md)","./I.05-discussion-paper-outline.md","notes/ics/ccc/docs/I-Fund/I.05-discussion-paper-outline.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I-Fund-README.md","[I.01-impact-yield-fund-concept.md](./I.01-impact-yield-fund-concept.md)","[I.01-impact-yield-fund-concept.md](notes/ics/ccc/docs/I-Fund/I.01-impact-yield-fund-concept.md)","./I.01-impact-yield-fund-concept.md","notes/ics/ccc/docs/I-Fund/I.01-impact-yield-fund-concept.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I-Fund-README.md","[I.02-meeting-notes.md](./I.02-meeting-notes.md)","[I.02-meeting-notes.md](notes/ics/ccc/docs/I-Fund/I.02-meeting-notes.md)","./I.02-meeting-notes.md","notes/ics/ccc/docs/I-Fund/I.02-meeting-notes.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I-Fund-README.md","[I.03-diagrams-and-visuals.md](./I.03-diagrams-and-visuals.md)","[I.03-diagrams-and-visuals.md](notes/ics/ccc/docs/I-Fund/I.03-diagrams-and-visuals.md)","./I.03-diagrams-and-visuals.md","notes/ics/ccc/docs/I-Fund/I.03-diagrams-and-visuals.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I-Fund-README.md","[I.04-project-plan.md](./I.04-project-plan.md)","[I.04-project-plan.md](notes/ics/ccc/docs/I-Fund/I.04-project-plan.md)","./I.04-project-plan.md","notes/ics/ccc/docs/I-Fund/I.04-project-plan.md","20250802-222217"
"notes/ics/ccc/docs/I-Fund/I-Fund-README.md","[I.05-discussion-paper-outline.md](./I.05-discussion-paper-outline.md)","[I.05-discussion-paper-outline.md](notes/ics/ccc/docs/I-Fund/I.05-discussion-paper-outline.md)","./I.05-discussion-paper-outline.md","notes/ics/ccc/docs/I-Fund/I.05-discussion-paper-outline.md","20250802-222217"
