Timestamp,File,Original,Fixed,Type,Change,Size,Fragment,Block
2025-08-03T00:03:27.082Z,"tools/plugin-notes/plugin-notes.md","![](https://youtu.be/eOsL2eP-N6g)","![[https://youtu.be/eOsL2eP-N6g]]",unknown,unknown,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/plugin-notes/plugin-notes.md","![](https://youtu.be/3UMncGbocAU)","![[https://youtu.be/3UMncGbocAU]]",unknown,unknown,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/plugin-notes/plugin-notes.md","![](tools/plugin-notes/dataview/dataview.md)","![[tools/plugin-notes/dataview/dataview.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/plugin-notes/plugin-notes.md","![](tools/plugin-notes/templater/templater.md)","![[tools/plugin-notes/templater/templater.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/plugin-notes/plugin-notes.md","![](tools/plugin-notes/metadata-menu/metadata-menu.md)","![[tools/plugin-notes/metadata-menu/metadata-menu.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![${cleanAlt}|${size}](${path})","![[${path}]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![alt](path)","![[path]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![note content](notes/example.md)","![[notes/example.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![with fragment](notes/guide.md#section)","![[notes/guide.md#section]]",unknown,unknown,NO,YES,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![with block](notes/doc%5Eblock-id.md)","![[notes/doc%5Eblock-id.md]]",note,note,NO,NO,YES
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![diagram](attachments/diagram.png)","![diagram](attachments/diagram.png)",image,image_unchanged,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![sized image|300](attachments/photo.jpg)","![sized image|300](attachments/photo.jpg)",image,image_unchanged,YES,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![banner|700×200](attachments/banner.png)","![banner|700×200](attachments/banner.png)",image,image_unchanged,YES,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![whitepaper](docs/whitepaper.pdf)","![[docs/whitepaper.pdf]]",document,document,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![presentation](docs/slides.pptx)","![[docs/slides.pptx]]",document,document,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![](empty-alt.md)","![[empty-alt.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"tools/templates/link-fix-templates/T07-Fix-Embeds.md","![complex path](path/to/nested/file.md)","![[path/to/nested/file.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![](drafts/OpenCivics-Wiki/Meta/Inbox/Quote%202.md#^6f28bd)","![[drafts/OpenCivics-Wiki/Meta/Inbox/Quote%202.md#^6f28bd]]",unknown,unknown,NO,YES,YES
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![systems thinking](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/systems%20thinking.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/systems%20thinking.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![protopia](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/protopia.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/protopia.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![pluralism](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/pluralism.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/pluralism.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![polycentric](tags/polycentric.md)","![[tags/polycentric.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![superoganism](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/superoganism.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/superoganism.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Thesis/Our Critical Path.md","![exponential feedback loops](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/exponential%20feedback%20loops.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/exponential%20feedback%20loops.md]]",note,note,NO,NO,NO
