Title,URL,Author,Description,Tags,Published Date,Status,Notes
Anticapture,https://spengrah.mirror.xyz/f6bZ6cPxJpP-4K_NB7JcjbU0XblJcaf7kVLD75dOYRQ,Spencer Graham,An operational framework for digital governance of shared resources.,governance,2022-04-13,To Review,Anti-capture is a decision-making framework by Spencer Graham that aims to prevent governance capture.
Automated Market Makers for Resource Allocation in Distributed Networks,https://agoric.com/blog/technology/automated-market-makers-for-resource-allocation-in-distributed-networks/,Dean Tribble,Explores the application of AMMs for resource allocation in peer-to-peer and other decentralized networks.,defi,2020-07-23,To Review,
Beyond Org Design: The 'No Middleman Rule' vs Complex Collaboration,https://workingsocial.substack.com/p/beyond-org-design-the-no-middleman,Joshua Daniel,Critiques the "no middleman" view of organizations and offers a framework for collaborative design.,organization,2023-02-16,To Review,Interesting critique of DAOs
BitDAO Creates World's Largest DAO with $2.5 Billion of Funding,https://www.bitdao.io/,BitDAO Team,BitDAO aims to create the most expansive decentralized ecosystem in the world,daos,2021-06-17,To Review,
Bridge Foundations Episode 9 - Joyously Building the Commons with Kevin Owocki,https://www.youtube.com/watch?v=ELm2KFzO1-4,Nick Zhu & Kevin Owocki,A podcast interview with Kevin Owocki discussing his work on Gitcoin Grants and his vision of a regenerative society.,impact,2023-08-17,To Review,
Building the Future of the Metaverse,https://deliverypdf.ssrn.com/delivery.php?ID=276006125027093093085105111001127073125033031002049010110112101077099009085031071030123060022099049042007104107031069024079097000051011085081072100105067023066089107057012055018099126086093073083081089080068000093099071083117088030079109000026095076&EXT=pdf&INDEX=TRUE,Fabian Schär,A paper discussing the metaverse and its implications for society.,metaverse,2022-01-01,To Review,
Capture-resistant Governance White Paper,https://github.com/hats-finance/capture-resistant-governance/blob/master/WHITEPAPER.md,Hats.finance,A framework for implementing capture-resistant governance in DAOs and Web3 projects.,governance,2023-01-01,To Review,This is a complementary paper to Spencer Graham's Anticapture.
Circle: Governance Accelerator,https://circle.xyz/blog/circle-governance-accelerator/,Circle Team,An announcement of Circle's governance accelerator for Web3 projects.,governance,2023-05-23,To Review,
Colony - Launch a DAO that works.,https://colony.io/,Colony Team,A platform for creating and managing DAOs with reputation-based governance.,daos,2018-01-01,To Review,One of the earliest DAO frameworks.
Commons Management Patterns. A pattern language for co-governance…,https://medium.com/commonsstack/commons-management-patterns-a-pattern-language-for-co-governance-and-stewardship-of-the-commons-8207e8907061,Léticia Gonçalves,A pattern language for co-governance and stewardship of the commons,commons;patterns,2021-06-08,To Review,Might contain useful implementation patterns for coordination
Communities of Practice - an introduction,https://hbr.org/2000/01/communities-of-practice-the-organizational-frontier,Etienne Wenger & William Snyder,A Harvard Business Review article introducing the concept of communities of practice.,community,2000-01-01,To Review,
Community Building in DAOs,https://mirror.xyz/0x65249575AF3824dd2B0F4ecCC6d243AE0d7D12cC/DK6iD1PPsPKHdCxR9tgk3C9Aeol9lVJDVSxuUaTq60w,Donnie Dinch,An article discussing strategies for effective community building in DAOs.,community,2022-10-17,To Review,A practical guide to building robust communities in DAOs
Constitutions of web3,https://otherinter.net/research/constitutions-web3,Other Internet,A research paper exploring constitutional design for web3 organizations.,governance,2022-02-01,To Review,
Cosmo-local Approach,https://cosmolocal.org/resources/introduction-to-cosmo-local/,Michel Bauwens,An introduction to cosmo-local production combining global knowledge with local production.,sustainability,2022-01-01,To Review,
Crypto Token Types: The Ultimate Guide,https://www.finlab.co/crypto-token-types-the-ultimate-guide/,Finlab Team,A comprehensive guide to the various types of crypto tokens and their uses.,tokens,2023-01-01,To Review,
Crypto-economic mechanisms for open maker ecosystems,https://medium.com/@porlando/crypto-economic-mechanisms-for-open-maker-ecosystems-4e89a28bd9c9,Patrick Orlando,Explores how cryptocurrency can provide incentives for open maker communities.,blockchain,2019-05-05,To Review,
Cryptoeconomics as a Limitation on Governance,https://osf.io/wzf85/?view_only=a10581ae9a804aa197ac39ebbba05766,Nathan Schneider,A paper on the limitations of cryptoeconomics in governance systems.,governance,2022-01-01,To Review,
Crypto Canon (a16z),https://a16z.com/2018/02/10/crypto-readings-resources/,"Sonal Chokshi, Chris Dixon, Denis Nazarov, Jesse Walden, Ali Yahya",A list of crypto readings and resources by Andreessen Horowitz,blockchain,2018-02-10,To Review,
Crypto Philanthropy,https://mirror.xyz/0x55e2780588aa5000F464f700D1fa1C3D211012Ea/G_TZRT_WYzJ_KBonn7QCoFELnFa68MjtZQhZGSbQ8CU,"Endaoment, Philanthropy.eth",A piece on how crypto is changing philanthropy and social impact.,impact,2023-01-31,To Review,
DAOhaus,https://daohaus.club/,DAOhaus Team,A platform for creating and managing Moloch DAOs.,daos,2020-01-01,To Review,
DAOstar,https://metagov.org/projects/daostar,Metagov,DAOstar defines standards for DAOs, including the EIP-4824 which serves as a common interface.,daos,2022-01-01,To Review,
DAO Directory - DAO Landscape,https://daodirectory.co/dao-landscape/,"Armando Pantoja, Josh Stifter, Daniel Bar, Akin Sawyerr",A comprehensive directory of DAOs and related projects.,daos,2023-01-01,To Review,
DAO Governance - Challenges Ideas and Tools,https://blog.tally.xyz/dao-governance-challenges-ideas-and-tools-1504fd82be24,Tally,An article exploring various governance models and tools for DAOs.,governance,2022-02-01,To Review,
DAOs & Creators - Resources to Get Started Today,https://kinjal.mirror.xyz/eD3-Sgv2h50j-kwjHQCOnwqMKqSLTfnrqrtNypU-P5k,Kinjal Shah,DAO reading list by Kinjal Shah,daos,2022-03-14,To Review,A curated reading list for creators exploring DAOs
Decentralised Tech & the Future of Organising,https://richdecibels.substack.com/p/9-decentralised-tech-and-the-future,Richard Bartlett,A big hot list of web3 people & projects with real social impact potential.,impact,2022-07-26,To Review,
Design for Secure Governance,https://vitalik.eth.limo/general/2023/09/30/secure.html,Vitalik Buterin,A blog post by Vitalik on designing governance systems that are secure against attacks.,governance,2023-09-30,To Review,
Digital Democracy: A History and its promise to the web3 movement,https://www.voices-of-crypto.com/p/digital-democracy-a-history-and-its,Daniel Dieter,"A retrospective on the social, political, and technological roots of democracy and the future of digital democracy",impact,2022-04-21,To Review,
Diogenes DAO,https://diogenesdao.medium.com/public-goods-and-the-rise-of-cynic-daos-73d20ba898aa,Diogenes,A manifesto about cynic DAOs and the public good.,daos,2023-01-01,To Review,
dPAN- Decentralized Public Administrative Network,https://charmverse.io/superbenefit/page/66841652-9d74-4bf5-a34e-f3be27a99f4c,Nate Suits,Slides summarizing the decentralized public administrative network concept.,governance,2022-01-01,To Review,
Ecosystem Stewardship Diagrams,https://hackmd.io/@abe/BycCrwKlh,Abeham,A collection of diagrams on ecosystem stewardship and governance.,governance,2023-03-05,To Review,
Ethereum Localism,https://greenpill.network/pdf/ethereum-localism.pdf,"Multiple Authors, Collated by the Open Machine",A collection of perspectives exploring the intersection of Ethereum and localism.,community,2023-05-01,To Review,
Four Quadrant Governance,https://medium.com/amentum/four-quadrant-governance-35a82e67fff6,Steven McKie,Provides a framework for thinking about blockchain governance.,governance,2019-05-14,To Review,
Gitcoin Aqueduct - The first DAO grants aggregator,https://www.gitcoin.co/aqueduct,Gitcoin,A platform for aggregating and distributing grants in the DAO ecosystem.,impact,2022-01-01,To Review,
