Title	Date	Status	Group	Meeting Link
RPP Weekly Core Team Meeting Template	Jul 11, 2024	Scheduled	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
6th Stakeholder Meeting for Reimagining Power (4/3/24)	Mar 4, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1203789985879162890
Reimagining Power Core Team Meeting (7/3/24)	Mar 7, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Core Team Meeting (14/3/24)	Mar 14, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Core Team Meeting (21/3/2024)	Mar 21, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Weekly Core Team Meeting (25/3/24)	Mar 28, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
7th Stakeholder Meeting for Reimagining Power (1/4/2024)	Apr 1, 2024	Ended	Reimagining Power	
Reimagining Power Weekly Core Team Meeting (4/4/2024)	Apr 4, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Weekly Core Team Meeting (11/4/2024)	Apr 11, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Weekly Core Team Meeting (18/4/2024)	Apr 18, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Weekly Core Team Meeting (25/4/2024)	Apr 25, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
8th Stakeholder Meeting for Reimagining Power (6/5/2024) 	May 6, 2024	Ended	Reimagining Power	
Reimagining Power Weekly Core Team Meeting (2/5/2024)	May 2, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP weekly meeting 9/5/24	May 10, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Reimagining Power Weekly Core Team Meeting 16/5/24	May 17, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Experiment Discovery Call w/ Sue Snider (17/5/24)	May 17, 2024	Ended	Reimagining Power	
Reimagining Power Weekly Core Team Meeting 23/5/24	May 23, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP Weekly Core Team Meeting (6/6/24)	Jun 6, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
9th Stakeholder Meeting for Reimagining Power (June 2024)	Jun 25, 2024	Ended	Reimagining Power	
RPP Weekly Core Team Meeting (13/6/24)	Jun 13, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RP Core Team Meeting (20/6/24)	Jun 20, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
Ready Sport Meeting		Ended	Reimagining Power	
Meeting Lucy Mills Ready Sport	Jun 18, 2024 -> Jun 18, 2024	Ended	SuperBenefit,Reimagining Power	
RPP Weekly Core Team Meeting (27/6/24)	Jun 27, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP Weekly Core Team Meeting (4/7/24)	Jul 4, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
RPP Weekly Core Team Meeting (11/7/24)	Jul 11, 2024	Ended	Reimagining Power	https://discord.com/events/874697948838101092/1192369788475953232
